CUSTID,COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,LEAVE
4703,one,25928,0,26,726235,170,0,2,very_sat,very_little,never_thought,STAY
4704,zero,41198,169,10,382336,150,0,6,very_unsat,very_little,considering,STAY
4706,zero,147273,65,7,909010,861,4,5,avg,little,no,LEAVE
4707,one,150563,84,0,851607,618,3,15,sat,little,no,LEAVE
4708,zero,119780,207,78,471472,444,28,1,very_unsat,little,never_thought,STAY
4709,one,154623,206,71,299077,687,22,2,very_sat,very_little,actively_looking_into_it,LEAVE
4711,one,70036,73,0,931209,317,4,14,avg,very_little,considering,STAY
4713,zero,21100,0,0,885528,160,0,15,avg,very_high,considering,LEAVE
4714,one,150263,135,0,776192,690,14,9,very_sat,little,considering,LEAVE
4716,zero,155582,80,89,713277,646,5,2,avg,very_little,actively_looking_into_it,LEAVE
4717,zero,119844,0,19,282245,453,1,5,sat,little,considering,STAY
4718,one,103293,170,0,991922,476,17,9,sat,little,never_thought,LEAVE
4719,zero,104404,0,79,209058,615,0,2,very_unsat,little,no,STAY
4720,one,74916,0,5,873325,584,17,6,avg,high,considering,STAY
4721,one,65640,0,12,607278,342,0,6,very_unsat,little,considering,LEAVE
4723,one,66210,194,0,523975,276,19,15,avg,very_little,actively_looking_into_it,LEAVE
4724,zero,129825,0,13,745651,740,1,6,avg,very_high,considering,STAY
4726,zero,36235,0,76,590147,139,1,2,very_sat,little,actively_looking_into_it,STAY
4727,zero,123266,0,42,515333,545,4,1,very_unsat,little,never_thought,STAY
4728,one,29635,189,46,749399,185,11,2,avg,high,considering,STAY
4729,zero,91071,167,23,992791,280,29,5,very_unsat,very_high,perhaps,STAY
4730,one,145622,190,5,906036,416,16,6,unsat,high,never_thought,STAY
4731,zero,89561,62,52,265705,365,5,2,very_unsat,high,actively_looking_into_it,STAY
4732,one,78560,169,89,161366,313,26,1,very_unsat,very_high,considering,LEAVE
4733,zero,41893,0,24,819736,173,1,5,unsat,very_high,considering,STAY
4734,zero,159819,54,65,889715,536,3,2,very_unsat,little,actively_looking_into_it,LEAVE
4735,zero,75105,197,89,969139,306,18,1,very_unsat,little,no,STAY
4737,one,114107,44,36,258730,192,4,1,very_unsat,very_little,considering,LEAVE
4738,one,32332,0,19,208770,837,0,1,very_sat,little,actively_looking_into_it,STAY
4739,zero,129334,0,24,663997,627,1,6,very_sat,very_little,never_thought,STAY
4740,zero,129482,0,54,872971,657,1,1,very_sat,little,considering,LEAVE
4741,zero,142062,71,0,962090,596,5,11,sat,very_high,no,LEAVE
4743,zero,134244,0,72,499455,528,5,1,very_sat,very_little,actively_looking_into_it,STAY
4746,zero,99679,16,0,873608,292,0,2,unsat,little,no,STAY
4747,zero,116897,215,11,294261,769,0,6,unsat,very_high,considering,LEAVE
4748,zero,20309,0,87,883556,216,1,1,very_unsat,high,considering,STAY
4750,zero,107070,0,13,298224,736,1,6,sat,little,considering,STAY
4751,one,138063,0,14,343687,322,0,14,very_unsat,little,considering,STAY
4753,zero,127653,62,17,455598,216,5,4,very_unsat,very_high,actively_looking_into_it,LEAVE
4754,one,106408,239,0,269312,814,19,15,very_unsat,very_little,considering,STAY
4756,zero,83886,0,52,462926,269,1,2,unsat,very_little,actively_looking_into_it,STAY
4757,zero,84130,52,0,634367,308,4,8,unsat,little,considering,STAY
4758,one,21029,190,0,774329,130,20,14,very_sat,very_high,considering,STAY
4759,one,41478,0,11,293517,144,1,6,very_unsat,little,perhaps,STAY
4760,one,42388,70,12,988230,156,3,8,very_sat,very_little,considering,STAY
4761,zero,119048,0,17,281444,809,1,6,avg,very_little,actively_looking_into_it,STAY
4762,zero,109608,74,0,894541,761,5,10,very_unsat,very_little,no,LEAVE
4764,zero,132697,197,0,312785,817,23,9,very_sat,very_little,considering,LEAVE
4765,zero,79809,229,5,710502,355,24,4,very_sat,very_high,actively_looking_into_it,STAY
4766,one,55564,0,39,298113,342,0,1,very_unsat,high,never_thought,LEAVE
4767,one,66908,0,71,290560,739,0,2,very_unsat,very_little,considering,LEAVE
4768,one,151311,0,0,294544,820,0,14,very_sat,very_high,considering,LEAVE
4769,one,26170,202,0,536116,139,21,5,avg,little,never_thought,STAY
4770,one,32448,153,0,754238,150,20,14,unsat,little,no,STAY
4771,zero,142587,53,31,451740,406,5,2,very_unsat,high,considering,STAY
4772,zero,100167,216,81,157002,578,24,1,avg,very_little,no,LEAVE
4775,one,62029,214,0,616643,375,11,9,very_unsat,very_high,perhaps,STAY
4776,zero,30812,0,0,986140,198,0,8,sat,little,considering,STAY
4778,one,96299,149,15,649986,252,14,2,very_sat,very_high,considering,STAY
4779,zero,43970,67,15,227611,188,5,4,very_sat,little,considering,STAY
4780,zero,87510,205,88,625662,254,22,2,very_unsat,avg,no,STAY
4781,one,46003,190,7,610710,186,17,6,very_unsat,little,considering,STAY
4783,zero,155349,0,80,439967,750,1,1,unsat,little,actively_looking_into_it,LEAVE
4784,one,110663,0,0,902611,529,1,13,very_unsat,high,perhaps,STAY
4785,zero,55780,0,85,865637,333,0,2,unsat,little,perhaps,LEAVE
4786,one,95953,224,0,198909,319,27,9,very_unsat,very_little,never_thought,LEAVE
4787,zero,30883,0,27,207155,158,1,2,very_unsat,little,considering,STAY
4788,zero,47630,173,14,216740,157,21,6,very_unsat,very_little,no,LEAVE
4789,one,31897,217,16,204432,186,27,6,very_sat,little,actively_looking_into_it,LEAVE
4790,zero,104301,213,0,969855,543,15,8,avg,high,considering,LEAVE
4793,one,77377,0,0,900613,343,1,11,very_unsat,little,never_thought,STAY
4795,zero,103711,80,0,155370,791,3,13,very_unsat,very_high,considering,STAY
4797,zero,41599,177,0,258847,211,13,10,very_unsat,high,never_thought,LEAVE
4798,one,32607,46,85,388866,131,4,5,very_sat,little,never_thought,LEAVE
4800,zero,101416,224,12,618961,513,23,6,very_unsat,avg,no,LEAVE
4802,one,30470,71,31,180275,681,5,2,very_unsat,very_high,considering,STAY
4803,one,86514,0,0,298403,824,0,13,very_unsat,little,never_thought,STAY
4805,zero,97994,27,0,493543,360,4,15,very_unsat,very_high,actively_looking_into_it,LEAVE
4806,one,34387,0,80,206941,197,0,1,sat,very_little,actively_looking_into_it,STAY
4807,zero,35043,215,82,478024,154,16,1,unsat,little,considering,LEAVE
4809,one,100607,135,0,666678,144,19,14,avg,avg,no,LEAVE
4811,zero,97124,0,62,301427,313,0,2,very_unsat,very_little,actively_looking_into_it,LEAVE
4812,one,61484,70,0,306521,281,5,10,avg,little,actively_looking_into_it,LEAVE
4813,zero,128663,203,0,154203,845,21,13,sat,very_high,no,LEAVE
4814,zero,32358,216,5,197233,172,4,4,very_unsat,high,considering,LEAVE
4815,one,87053,218,38,212212,372,24,2,sat,little,no,LEAVE
4816,one,24978,70,0,706856,216,3,14,very_unsat,high,considering,STAY
4817,one,107878,0,0,995349,415,0,10,very_sat,high,considering,LEAVE
4820,one,83347,63,33,321434,356,5,1,unsat,very_high,no,LEAVE
4821,one,42313,56,7,618611,197,3,6,very_sat,little,considering,LEAVE
4822,zero,87732,0,0,710972,256,0,9,unsat,very_little,actively_looking_into_it,STAY
4823,one,85285,65,79,340458,389,5,2,very_sat,little,no,LEAVE
4824,one,135959,199,17,593945,744,1,6,very_unsat,very_high,considering,LEAVE
4825,one,31428,0,0,410952,213,1,10,very_unsat,very_high,no,STAY
4827,zero,159954,26,24,299070,804,5,1,very_unsat,very_high,considering,STAY
4828,zero,31689,0,14,380907,287,0,1,very_unsat,very_little,perhaps,STAY
4831,one,86823,0,14,653254,145,0,6,very_unsat,very_little,considering,STAY
4832,one,134607,191,0,583748,760,4,10,very_unsat,very_little,considering,LEAVE
4833,one,42520,140,0,181817,235,28,15,very_unsat,little,considering,LEAVE
4834,one,121249,0,0,895834,832,0,14,unsat,very_high,considering,STAY
4835,one,21064,0,27,486441,195,0,1,very_unsat,very_high,actively_looking_into_it,STAY
4837,zero,59258,0,0,213042,366,0,11,unsat,little,no,LEAVE
4838,zero,79037,0,0,458394,299,1,13,very_unsat,little,never_thought,STAY
4839,one,156357,0,89,601335,813,0,5,very_sat,very_high,actively_looking_into_it,STAY
4840,one,139296,78,8,887800,533,4,5,very_unsat,little,considering,LEAVE
4841,zero,133455,232,16,268132,785,27,4,unsat,little,actively_looking_into_it,STAY
4842,zero,50668,0,10,965410,270,0,4,avg,little,never_thought,STAY
4843,one,20094,0,0,995419,163,0,8,avg,little,considering,STAY
4844,zero,136082,240,0,943065,426,22,9,very_unsat,very_little,perhaps,LEAVE
4847,one,125994,185,71,339951,592,14,1,very_sat,very_high,no,LEAVE
4848,zero,37299,0,10,541179,244,0,5,very_unsat,high,never_thought,STAY
4850,zero,50735,183,81,227301,341,18,2,very_unsat,avg,actively_looking_into_it,LEAVE
4851,one,44029,89,24,733258,216,5,5,avg,very_high,actively_looking_into_it,LEAVE
4853,one,79000,84,0,162403,345,4,12,sat,high,actively_looking_into_it,STAY
4855,zero,71648,0,0,677051,260,1,8,very_sat,little,no,STAY
4857,zero,105467,207,21,907231,224,17,6,sat,very_little,actively_looking_into_it,STAY
4858,zero,152422,183,0,297585,654,25,8,very_unsat,very_little,actively_looking_into_it,LEAVE
4860,zero,108171,185,0,626283,617,29,11,sat,very_little,considering,LEAVE
4861,one,74164,184,40,583873,280,24,2,very_unsat,high,actively_looking_into_it,LEAVE
4862,zero,113661,47,58,417634,662,3,2,unsat,little,actively_looking_into_it,STAY
4863,zero,47405,54,10,191165,170,5,5,very_unsat,little,actively_looking_into_it,LEAVE
4864,zero,142982,0,0,229178,641,1,8,avg,little,no,LEAVE
4865,zero,45102,47,28,958149,203,13,2,very_unsat,very_little,considering,STAY
4866,one,69788,0,6,322378,309,0,4,very_unsat,very_high,no,STAY
4868,zero,148808,0,0,379947,343,3,14,very_unsat,very_little,actively_looking_into_it,STAY
4869,zero,70463,76,84,415132,325,4,1,very_sat,little,no,STAY
4871,one,38876,0,0,358370,139,1,12,very_sat,little,considering,STAY
4872,one,132738,0,0,684236,652,0,8,very_unsat,very_little,considering,STAY
4874,zero,46954,63,12,543151,246,4,5,very_sat,high,actively_looking_into_it,STAY
4875,zero,23728,225,6,228057,205,28,5,avg,very_high,actively_looking_into_it,LEAVE
4876,zero,126550,0,0,537223,212,0,9,very_unsat,little,actively_looking_into_it,STAY
4878,one,39876,0,0,185820,145,1,1,very_unsat,very_high,considering,LEAVE
4880,one,118978,75,24,351455,890,5,6,unsat,very_high,no,LEAVE
4882,one,33286,53,58,240715,207,5,2,very_unsat,little,no,LEAVE
4883,zero,89595,186,35,678470,333,26,2,very_sat,high,considering,STAY
4885,one,104980,43,88,579467,745,1,2,very_unsat,little,considering,STAY
4886,zero,30420,62,11,358459,162,4,5,very_unsat,very_little,considering,STAY
4887,zero,36804,173,69,424218,181,17,12,unsat,high,actively_looking_into_it,LEAVE
4889,one,46684,170,0,320914,223,12,10,very_sat,very_high,considering,LEAVE
4891,zero,45137,44,10,381214,239,3,2,sat,very_high,considering,LEAVE
4892,zero,51340,107,24,175132,259,21,6,very_unsat,very_high,considering,STAY
4893,zero,40856,0,88,493891,169,1,1,very_sat,little,no,LEAVE
4894,zero,21242,65,12,868877,154,4,4,very_sat,very_little,considering,STAY
4895,one,75821,0,41,610728,252,25,1,very_sat,very_little,considering,STAY
4896,zero,127290,0,44,218979,509,1,1,unsat,very_little,considering,LEAVE
4898,one,45692,205,31,199277,156,11,1,very_sat,very_little,no,LEAVE
4900,one,22945,76,76,531055,248,5,2,very_sat,little,actively_looking_into_it,STAY
4901,zero,77250,0,14,337160,719,1,4,very_unsat,little,never_thought,STAY
4902,one,43604,0,0,189116,151,1,12,very_unsat,very_little,no,LEAVE
4903,one,100908,0,22,169527,494,1,1,very_unsat,very_high,considering,STAY
4904,zero,146272,216,87,493867,749,11,2,very_unsat,little,considering,LEAVE
4905,one,20688,176,0,178852,145,20,10,avg,very_high,considering,LEAVE
4906,zero,60579,0,18,474633,261,1,5,very_unsat,very_high,no,STAY
4914,zero,48422,0,19,552478,161,0,4,very_sat,little,actively_looking_into_it,STAY
4915,zero,82500,200,13,283843,130,20,5,unsat,little,considering,LEAVE
4917,zero,48796,92,25,249690,188,4,12,very_sat,little,considering,LEAVE
4918,one,57433,0,36,364816,139,0,1,very_sat,little,considering,STAY
4919,zero,94778,236,0,316241,354,19,9,sat,very_high,actively_looking_into_it,LEAVE
4920,zero,80095,81,0,196939,255,0,13,very_unsat,high,never_thought,LEAVE
4921,zero,143162,188,0,232820,419,28,15,very_unsat,high,never_thought,STAY
4922,zero,44379,56,76,202537,151,4,2,sat,little,considering,LEAVE
4924,zero,21890,0,0,333230,218,0,6,unsat,little,actively_looking_into_it,LEAVE
4925,zero,111467,0,24,569814,650,1,5,very_unsat,little,never_thought,STAY
4927,one,40246,0,28,160089,223,0,2,very_unsat,high,actively_looking_into_it,LEAVE
4929,one,123289,233,12,702073,509,10,6,unsat,high,considering,LEAVE
4931,zero,121332,177,0,832906,789,26,9,avg,very_high,never_thought,LEAVE
4932,one,48362,61,85,491920,246,3,1,very_sat,high,no,LEAVE
4933,zero,149075,35,0,744324,467,5,1,unsat,very_little,considering,LEAVE
4934,zero,137854,0,10,283374,523,0,4,very_unsat,high,no,STAY
4937,zero,104549,211,0,465968,816,11,10,very_sat,very_little,no,STAY
4939,zero,89773,0,77,834003,344,0,4,very_unsat,very_high,actively_looking_into_it,STAY
4940,zero,43044,0,0,426349,227,0,10,unsat,very_high,actively_looking_into_it,STAY
4941,one,44325,58,22,214940,219,5,5,very_unsat,very_little,considering,STAY
4942,zero,108143,50,55,425906,627,1,2,unsat,little,actively_looking_into_it,LEAVE
4943,one,26760,56,9,668901,163,5,4,very_sat,very_high,never_thought,STAY
4944,one,23757,71,23,620531,240,4,5,very_unsat,very_high,perhaps,STAY
4948,zero,96614,55,9,989687,206,14,4,avg,very_little,actively_looking_into_it,LEAVE
4950,zero,141952,233,0,385333,136,19,6,avg,avg,never_thought,LEAVE
4951,one,48633,186,14,488946,204,18,4,very_sat,very_high,actively_looking_into_it,LEAVE
4952,zero,43120,0,0,867409,156,1,8,very_unsat,little,never_thought,STAY
4953,one,21275,0,0,860022,144,1,14,very_unsat,very_high,never_thought,STAY
4956,zero,36167,0,40,940806,174,0,2,very_unsat,little,never_thought,STAY
4957,one,29213,0,55,785261,294,0,2,very_unsat,very_little,no,STAY
4958,zero,130427,0,16,766227,891,1,5,very_sat,little,considering,LEAVE
4959,one,37346,0,14,306378,131,1,4,unsat,very_high,actively_looking_into_it,STAY
4960,one,24569,209,7,215733,232,11,5,very_sat,very_little,never_thought,LEAVE
4961,one,33189,171,54,591847,150,12,2,sat,avg,considering,STAY
4963,one,154433,142,16,278166,760,21,5,unsat,little,considering,STAY
4965,one,41175,61,41,229062,150,13,1,very_unsat,very_high,actively_looking_into_it,STAY
4967,zero,48092,71,47,222347,155,4,1,very_sat,very_high,considering,LEAVE
4968,zero,58300,212,34,964640,157,14,8,very_unsat,very_high,considering,STAY
4969,one,38194,42,0,575275,220,3,9,unsat,very_little,actively_looking_into_it,LEAVE
4970,zero,20605,0,0,652927,216,1,8,very_unsat,very_high,considering,STAY
4972,one,82742,0,7,645057,359,1,4,very_unsat,very_little,never_thought,STAY
4973,zero,49671,0,27,226223,232,1,1,very_unsat,little,considering,STAY
4974,zero,128899,72,14,437854,640,3,6,very_unsat,avg,actively_looking_into_it,LEAVE
4975,zero,118835,84,0,209201,505,4,8,very_unsat,little,perhaps,LEAVE
4976,zero,23015,209,0,396941,185,18,10,very_unsat,very_high,considering,LEAVE
4977,zero,113185,0,0,231632,604,0,13,very_unsat,very_high,considering,LEAVE
4978,one,35177,202,0,379292,207,21,9,very_unsat,little,no,LEAVE
4979,zero,39034,71,16,729718,193,3,6,very_sat,little,considering,STAY
4981,zero,42543,0,0,380944,173,1,14,very_sat,high,no,LEAVE
4982,zero,78738,170,0,201862,277,10,10,very_unsat,very_little,no,LEAVE
4984,one,34503,188,24,211862,156,20,6,avg,little,considering,STAY
4986,one,83124,199,65,631351,399,21,15,very_unsat,little,no,STAY
4987,one,75122,0,45,455958,292,0,1,very_unsat,little,never_thought,LEAVE
4990,zero,76599,0,21,245021,386,0,5,very_sat,high,considering,STAY
4992,one,112975,76,17,609950,866,4,4,very_unsat,very_little,considering,LEAVE
4993,one,152556,0,0,926805,444,0,11,sat,very_high,considering,LEAVE
4994,zero,30069,60,23,286692,175,4,4,very_unsat,very_little,considering,LEAVE
4995,one,29082,196,0,871605,226,12,14,unsat,little,actively_looking_into_it,STAY
4998,one,46719,0,0,222101,728,1,10,unsat,little,considering,LEAVE
4999,zero,28226,76,51,508267,178,4,8,unsat,high,no,LEAVE
5001,one,90536,256,75,612136,157,1,1,very_unsat,very_little,considering,STAY
5002,one,145931,86,8,639501,431,5,4,unsat,high,considering,LEAVE
5003,one,121229,72,0,361536,815,3,15,unsat,very_little,actively_looking_into_it,STAY
5004,one,30323,217,78,187115,174,11,1,unsat,little,actively_looking_into_it,LEAVE
5005,one,42790,34,0,599044,244,3,15,unsat,little,no,LEAVE
5006,zero,24595,0,0,450568,159,0,9,very_unsat,avg,no,LEAVE
5008,zero,35065,48,0,279801,164,5,14,avg,high,considering,LEAVE
5009,one,85970,0,13,166242,382,0,4,avg,little,actively_looking_into_it,STAY
5010,one,76225,0,21,543454,352,0,5,very_sat,very_high,considering,STAY
5011,zero,53834,232,76,839262,374,1,1,avg,high,actively_looking_into_it,LEAVE
5014,zero,114930,157,0,430761,505,1,11,very_unsat,very_little,no,STAY
5016,zero,144912,0,53,202098,710,1,1,very_unsat,little,no,STAY
5017,zero,22004,53,24,960358,170,3,4,very_unsat,very_little,actively_looking_into_it,STAY
5020,one,59947,229,43,368099,322,17,2,unsat,very_little,actively_looking_into_it,LEAVE
5021,zero,116573,57,5,740280,718,5,5,avg,high,never_thought,STAY
5023,one,35088,63,54,937644,242,4,2,avg,very_little,considering,LEAVE
5024,one,108339,0,9,171941,756,1,5,unsat,very_little,considering,LEAVE
5026,one,69882,0,17,250543,393,0,5,very_unsat,very_high,actively_looking_into_it,STAY
5028,one,157210,53,5,285994,853,5,4,avg,very_little,actively_looking_into_it,LEAVE
5029,one,79125,198,0,220430,518,11,8,avg,very_high,actively_looking_into_it,LEAVE
5031,one,28012,54,30,586709,239,4,11,sat,very_little,considering,LEAVE
5032,zero,31236,220,14,451647,243,23,9,very_unsat,little,never_thought,LEAVE
5033,one,41049,202,54,798644,159,21,2,very_unsat,very_high,actively_looking_into_it,STAY
5034,one,66419,0,21,478119,276,0,5,very_unsat,little,actively_looking_into_it,STAY
5035,one,20223,0,0,240340,191,0,13,very_unsat,little,considering,STAY
5036,one,38771,0,0,275870,248,1,15,very_unsat,high,considering,STAY
5037,one,30284,0,86,663730,157,1,2,very_sat,very_little,actively_looking_into_it,STAY
5038,one,99297,177,0,507579,446,19,8,very_sat,very_little,perhaps,LEAVE
5039,one,72418,70,0,263839,273,28,15,very_unsat,little,no,LEAVE
5040,zero,46563,195,0,914588,152,15,13,very_sat,very_high,never_thought,STAY
5041,one,132007,206,14,476900,707,10,4,very_unsat,little,never_thought,LEAVE
5042,one,38001,99,0,431156,182,4,14,very_unsat,very_little,no,LEAVE
5044,zero,64565,212,84,163422,331,11,2,very_sat,very_little,perhaps,STAY
5045,zero,128881,47,25,200570,703,5,2,unsat,very_little,no,STAY
5046,one,151809,58,53,856841,487,3,2,very_unsat,very_high,considering,LEAVE
5047,one,102019,0,0,422561,242,1,9,unsat,little,considering,LEAVE
5048,one,114009,201,21,516589,605,13,5,very_unsat,very_little,actively_looking_into_it,LEAVE
5050,one,35287,224,0,214475,226,10,15,very_unsat,little,considering,LEAVE
5051,zero,132217,0,79,290329,439,0,2,very_sat,very_high,no,LEAVE
5052,one,78451,55,22,252655,353,5,5,very_unsat,little,considering,STAY
5053,one,104750,265,43,803219,603,12,2,very_unsat,very_high,considering,LEAVE
5054,one,73545,69,0,512223,332,4,5,unsat,little,considering,STAY
5055,one,101510,52,0,480130,511,4,11,very_sat,little,perhaps,LEAVE
5056,one,39587,0,56,537421,187,1,2,unsat,little,no,LEAVE
5058,zero,62555,0,84,813515,327,1,9,unsat,very_little,considering,STAY
5059,zero,42700,0,36,317656,240,24,2,very_unsat,little,no,LEAVE
5060,one,47810,53,20,260433,187,5,6,very_sat,high,perhaps,STAY
5061,one,145831,57,24,618150,646,4,5,unsat,avg,no,LEAVE
5064,zero,42788,0,47,595100,784,18,1,very_unsat,high,considering,STAY
5065,zero,146997,52,10,207791,669,5,6,very_unsat,very_high,actively_looking_into_it,STAY
5066,one,95610,197,32,600511,363,29,6,unsat,very_little,no,STAY
5067,one,38481,213,34,251388,219,25,6,very_unsat,very_little,considering,LEAVE
5070,zero,107843,0,0,472106,476,0,14,very_unsat,very_little,considering,LEAVE
5075,one,125215,232,16,922714,508,27,6,very_unsat,very_high,considering,LEAVE
5077,zero,63948,165,0,481968,355,27,11,very_sat,little,considering,LEAVE
5078,one,106519,213,6,551253,553,19,5,very_unsat,little,no,STAY
5082,zero,105897,59,0,294978,201,4,4,very_sat,little,no,LEAVE
5083,one,63378,56,0,903657,358,16,10,very_sat,little,no,STAY
5086,one,79197,64,0,268908,378,5,13,very_unsat,high,considering,LEAVE
5087,zero,131222,0,36,943175,748,1,1,very_sat,little,no,LEAVE
5088,zero,141816,75,38,572972,567,0,1,very_sat,very_little,no,STAY
5089,zero,42208,0,32,176344,202,0,2,very_unsat,little,considering,LEAVE
5091,one,148574,243,41,784836,192,11,1,very_unsat,very_little,considering,STAY
5092,zero,71249,252,0,761731,347,23,12,sat,very_high,considering,LEAVE
5093,zero,21891,181,0,240553,235,4,12,avg,little,considering,LEAVE
5094,one,113076,0,0,554967,721,3,14,very_unsat,avg,no,STAY
5097,zero,96645,0,39,201543,573,1,13,very_sat,very_little,never_thought,LEAVE
5098,one,24734,0,0,735789,164,0,15,very_sat,little,actively_looking_into_it,STAY
5100,zero,68167,0,78,153145,262,1,2,unsat,little,considering,LEAVE
5101,zero,94281,0,0,904787,301,1,15,very_unsat,little,no,STAY
5102,one,40229,234,86,380984,228,19,1,avg,very_high,never_thought,STAY
5103,zero,79421,81,0,349377,236,5,10,sat,high,considering,LEAVE
5106,one,137061,51,24,830341,715,4,5,very_unsat,very_high,actively_looking_into_it,LEAVE
5107,one,30321,145,0,274254,172,22,9,very_unsat,very_little,considering,LEAVE
5108,one,145780,212,22,535625,163,18,4,avg,little,considering,LEAVE
5109,zero,84245,70,18,903047,376,5,4,very_sat,very_high,no,LEAVE
5110,one,35672,0,79,256206,163,1,2,very_sat,little,considering,LEAVE
5111,zero,40318,0,35,952611,299,1,2,very_sat,very_high,actively_looking_into_it,LEAVE
5112,zero,43154,74,11,705908,188,4,6,very_sat,very_high,actively_looking_into_it,LEAVE
5113,zero,126880,0,49,160278,578,1,2,very_unsat,very_little,never_thought,STAY
5115,one,80209,0,0,564194,317,0,1,very_unsat,little,considering,LEAVE
5117,zero,26935,0,0,620440,220,1,1,very_unsat,very_high,perhaps,STAY
5118,one,72392,127,33,709794,325,20,1,very_unsat,little,considering,STAY
5119,one,129382,0,0,410641,740,1,11,unsat,little,considering,LEAVE
5121,zero,150630,217,13,941505,652,11,4,very_unsat,high,never_thought,LEAVE
5122,zero,43738,176,45,955597,294,15,1,very_sat,very_little,considering,STAY
5125,one,100864,189,34,404885,852,24,2,very_unsat,little,considering,LEAVE
5127,zero,44148,136,14,309388,138,15,4,unsat,little,considering,STAY
5128,one,40675,0,0,612858,146,0,9,very_sat,very_high,actively_looking_into_it,STAY
5129,zero,46388,209,68,760781,157,5,2,unsat,little,considering,STAY
5131,zero,134748,57,75,434154,822,3,1,very_unsat,very_little,actively_looking_into_it,STAY
5132,zero,61188,79,18,421811,292,1,4,very_unsat,very_high,considering,STAY
5133,zero,83958,0,60,909897,297,1,2,unsat,little,never_thought,STAY
5134,zero,149530,65,68,598856,614,5,2,very_sat,avg,perhaps,LEAVE
5135,one,140249,228,16,253688,829,24,6,very_unsat,very_high,considering,LEAVE
5136,zero,77006,0,0,637726,376,0,9,very_sat,little,never_thought,STAY
5137,one,29832,226,24,196622,145,21,6,unsat,little,actively_looking_into_it,LEAVE
5138,one,119169,198,65,292276,563,17,2,avg,little,never_thought,LEAVE
5139,one,102204,178,22,538996,184,17,5,unsat,very_high,perhaps,LEAVE
5140,zero,71163,68,0,255505,338,5,9,very_unsat,little,considering,LEAVE
5141,one,44032,0,0,824916,147,1,12,avg,very_high,considering,STAY
5143,zero,33397,0,0,490384,142,0,9,unsat,very_high,considering,LEAVE
5144,one,69414,214,0,401900,229,10,13,very_unsat,little,never_thought,LEAVE
5145,one,20812,240,7,847083,215,14,5,very_sat,avg,never_thought,STAY
5147,zero,102739,232,19,339737,739,10,5,very_unsat,very_little,never_thought,STAY
5148,one,64070,0,0,326646,275,1,9,sat,little,no,STAY
5149,zero,38328,62,0,957555,160,5,11,avg,very_high,never_thought,STAY
5152,zero,99658,213,19,283447,261,28,5,unsat,high,considering,STAY
5153,zero,108561,0,7,240893,643,1,4,very_unsat,high,perhaps,STAY
5154,one,153618,152,7,296971,418,19,6,unsat,very_little,perhaps,LEAVE
5155,one,80483,233,0,749027,338,26,12,avg,very_high,actively_looking_into_it,STAY
5157,one,134929,170,30,434092,423,22,1,very_sat,very_little,no,LEAVE
5158,zero,27352,53,63,985534,236,5,1,very_unsat,little,actively_looking_into_it,STAY
5159,zero,73436,229,13,500764,369,26,5,avg,very_high,considering,LEAVE
5160,zero,33784,176,23,683740,247,25,6,avg,little,considering,STAY
5161,one,95031,170,8,742751,320,19,4,very_unsat,very_little,no,STAY
5162,zero,61304,55,0,159716,292,4,13,very_sat,avg,actively_looking_into_it,STAY
5165,one,114170,0,20,728011,260,1,5,avg,little,actively_looking_into_it,STAY
5166,zero,27264,132,22,422869,176,17,5,very_sat,very_little,actively_looking_into_it,LEAVE
5168,zero,48084,69,0,224511,226,5,10,very_sat,little,perhaps,STAY
5169,one,82938,166,0,461846,373,25,9,very_unsat,very_little,considering,LEAVE
5170,one,30539,207,0,242768,182,15,12,very_sat,high,considering,LEAVE
5171,one,35036,0,57,835497,152,1,5,very_unsat,little,actively_looking_into_it,STAY
5172,zero,128725,0,13,245070,470,0,6,very_sat,very_high,perhaps,STAY
5178,zero,59543,0,46,155492,322,1,6,avg,very_little,considering,LEAVE
5182,zero,30080,0,0,476181,243,0,13,very_sat,little,considering,STAY
5184,one,127584,0,55,268961,513,5,2,unsat,very_high,considering,LEAVE
5187,one,110303,0,10,939003,461,0,6,very_sat,little,actively_looking_into_it,STAY
5188,one,110201,177,11,735219,521,20,6,unsat,little,actively_looking_into_it,STAY
5189,zero,25428,69,86,221405,137,19,1,unsat,very_high,never_thought,STAY
5190,one,129918,63,34,505272,768,4,12,very_unsat,high,considering,LEAVE
5191,zero,115748,0,21,564231,584,0,2,unsat,little,no,LEAVE
5194,zero,26728,0,0,184267,222,1,11,very_unsat,little,actively_looking_into_it,STAY
5195,one,35669,46,67,695404,248,0,1,very_sat,little,no,STAY
5196,one,125117,0,20,221488,404,5,5,very_sat,high,never_thought,STAY
5197,zero,27306,217,17,735906,146,21,4,unsat,avg,actively_looking_into_it,STAY
5200,zero,143705,0,7,329121,664,1,1,very_sat,very_high,no,STAY
5203,one,66328,0,9,529997,377,16,6,very_sat,high,considering,STAY
5204,one,69715,41,14,415605,311,4,4,very_unsat,very_high,actively_looking_into_it,STAY
5205,zero,93312,58,24,391094,299,5,6,avg,very_little,considering,STAY
